week_end,pathogen,percent_deaths
2020-04-04,Influenza,0.7
2020-04-04,RSV,0
2020-04-11,COVID-19,20.6
2020-04-11,Influenza,0.6
2020-04-11,RSV,0
2020-04-18,COVID-19,22.4
2020-04-18,Influenza,0.3
2020-04-25,COVID-19,21
2020-04-25,Influenza,0.2
2020-05-02,COVID-19,19.1
2020-05-02,Influenza,0.1
2020-05-09,COVID-19,16.8
2020-05-09,Influenza,0.1
2020-05-16,COVID-19,14.3
2020-05-16,Influenza,0
2020-05-23,COVID-19,11.7
2020-05-23,Influenza,0
2020-05-30,COVID-19,10.3
2020-05-30,Influenza,0
2020-05-30,RSV,0
2020-06-06,COVID-19,8.6
2020-06-06,Influenza,0
2020-06-06,RSV,0
2020-06-13,COVID-19,7.3
2020-06-13,Influenza,0
2020-06-20,COVID-19,6.6
2020-06-27,COVID-19,6.6
2020-06-27,Influenza,0
2020-07-04,COVID-19,7.6
2020-07-04,RSV,0
2020-07-11,COVID-19,9.3
2020-07-11,Influenza,0
2020-07-11,RSV,0
2020-07-18,COVID-19,11.4
2020-07-18,Influenza,0
2020-07-18,RSV,0
2020-07-25,COVID-19,12.8
2020-07-25,Influenza,0
2020-07-25,RSV,0
2020-08-01,COVID-19,12.9
2020-08-01,Influenza,0
2020-08-01,RSV,0
2020-08-08,COVID-19,12.3
2020-08-08,Influenza,0
2020-08-08,RSV,0
2020-08-15,COVID-19,11.4
2020-08-22,COVID-19,10.2
2020-08-22,Influenza,0
2020-08-29,COVID-19,9.4
2020-08-29,Influenza,0
2020-08-29,RSV,0
2020-09-05,COVID-19,8.3
2020-09-05,RSV,0
2020-09-12,COVID-19,7.8
2020-09-19,COVID-19,7.2
2020-09-19,RSV,0
2020-09-26,COVID-19,7.1
2020-10-03,COVID-19,7.1
2020-10-03,RSV,0
2020-10-10,COVID-19,7.8
2020-10-10,Influenza,0
2020-10-10,RSV,0
2020-10-17,COVID-19,8.6
2020-10-17,Influenza,0
2020-10-17,RSV,0
2020-10-24,COVID-19,9.6
2020-10-24,Influenza,0
2020-10-24,RSV,0
2020-10-31,COVID-19,11.1
2020-10-31,Influenza,0
2020-11-07,COVID-19,13
2020-11-07,Influenza,0
2020-11-07,RSV,0
2020-11-14,COVID-19,15.5
2020-11-14,Influenza,0
2020-11-14,RSV,0
2020-11-21,COVID-19,18.6
2020-11-21,Influenza,0
2020-11-21,RSV,0
2020-11-28,COVID-19,21.3
2020-11-28,Influenza,0
2020-11-28,RSV,0
2020-12-05,Influenza,0
2020-12-05,RSV,0
2020-12-05,COVID-19,24
2020-12-12,Influenza,0
2020-12-12,RSV,0
2020-12-12,COVID-19,25.5
2020-12-19,Influenza,0
2020-12-19,RSV,0
2020-12-19,COVID-19,26.9
2020-12-26,Influenza,0
2020-12-26,COVID-19,27.7
2021-01-02,Influenza,0
2021-01-02,RSV,0
2021-01-02,COVID-19,28.6
2021-01-09,Influenza,0
2021-01-09,RSV,0
2021-01-09,COVID-19,29.9
2021-01-16,Influenza,0
2021-01-16,RSV,0
2021-01-16,COVID-19,29.5
2021-01-23,Influenza,0
2021-01-23,RSV,0
2021-01-23,COVID-19,28.4
2021-01-30,Influenza,0
2021-01-30,COVID-19,25.7
2021-02-06,Influenza,0
2021-02-06,RSV,0
2021-02-06,COVID-19,22.3
2021-02-13,Influenza,0
2021-02-13,COVID-19,18.9
2021-02-20,Influenza,0
2021-02-20,RSV,0
2021-02-20,COVID-19,15.6
2021-02-27,Influenza,0
2021-02-27,RSV,0
2021-02-27,COVID-19,13
2021-03-06,Influenza,0
2021-03-06,RSV,0
2021-03-06,COVID-19,10.6
